Abkürzung,Name,Breite,Höhe
1080p,Full High Definition,1920,1080
SXGA+,SXGA Plus,1400,1050
WSXGA+,Wide SXGA+,1680,1050
SXGA,Super XGA,1280,1024
XGA-2,XGA 2,1360,1024
XGA-2,XGA 2,1366,1024
WSXGA,Wide SXGA,1600,1024
,Apple,1440,960
SXVGA,Quad VGA,1280,960
XGA,"SGI-XGA, Sun-XGA",1152,900
OLPC,,1200,900
WXGA+,WXGA Plus,1400,900
WXGA+,WXGA Plus,1440,900
WSXGA,Wide SXGA,1600,900
XGA,Apple Macintosh-XGA,1152,870
XGA,XGA+,1152,864
WXGA,Wide XGA,1280,854
DSVGA,Double SVGA,1200,800
WXGA,Wide XGA,1280,800
,Apple,1152,768
EVGA,Extended VGA,1024,768
XGA,Extended Graphics Array,1024,768
WXGA,Wide XGA,1280,768
WXGA,Wide XGA,1360,768
WXGA,Wide XGA,1366,768
WXGA,Wide XGA,1376,768
UWXGA,Ultra Wide XGA,1600,768
,Unbenannt,960,720
720p,High Definition,1280,720
DVGA,Double VGA,960,640
Half Megapixel,Apple,832,624
SVGA,Super VGA,800,600
WSVGA,Wide SVGA,1024,600
WSVGA,Wide SVGA,1072,600
WXGA,Wide XGA,1024,576
,,964,544
QHD,Quarter HD,960,540
"WVGA, WGA",Wide VGA,858,484
VGA,Video Graphics Array,640,480
"WVGA, WGA",Wide VGA,800,480
"WVGA, WGA",Wide VGA,848,480
"WVGA, WGA",Wide VGA,852,480
"WVGA, WGA",Wide VGA,864,480
"WVGA, WGA",Wide VGA,720,400
,Apple Lisa,720,364
QHD,Quarter HD,640,360
,Nokia,416,352
EGA,Enhanced Graphics Adapter,640,350
MDA,Monochrome Display Adapter,720,350
HGC,Hercules Graphics Card,720,348
HiRES,Palm High RESolution,320,320
HVGA,Half VGA,480,320
PSP,Playstation Portable,480,272
,Amiga (PAL),320,256
,Amiga (PAL),640,256
,,384,240
QVGA,Quarter VGA,320,240
WQVGA,Wide QVGA,432,240
,,640,240
CGA,Color Graphics Adapter,320,200
"ZXS, NDS","ZX Spectrum, Nintendo DS",256,192
1/8 VGA,1/8 VGA,240,180
,Nokia,208,176
,Sony-Ericsson,220,176
LoRES,Palm Low RESolution,160,160
,,480,160
QQVGA,Quarter QVGA,160,120
