Abkürzung,Name,Breite,Höhe
QQVGA,Quarter QVGA,160,120
LoRES,Palm Low RESolution,160,160
,Nokia,208,176
,Sony-Ericsson,220,176
,Amiga (PAL),320,256
1/8 VGA,1/8 VGA,240,180
"ZXS, NDS","ZX Spectrum, Nintendo DS",256,192
CGA,Color Graphics Adapter,320,200
,,384,240
QVGA,Quarter VGA,320,240
WQVGA,Wide QVGA,432,240
,Nokia,416,352
,,480,160
PSP,Playstation Portable,480,272
HiRES,Palm High RESolution,320,320
,Amiga (PAL),640,256
HVGA,Half VGA,480,320
,,640,240
QHD,Quarter HD,640,360
EGA,Enhanced Graphics Adapter,640,350
MDA,Monochrome Display Adapter,720,350
HGC,Hercules Graphics Card,720,348
,Apple Lisa,720,364
VGA,Video Graphics Array,640,480
"WVGA, WGA",Wide VGA,720,400
"WVGA, WGA",Wide VGA,800,480
"WVGA, WGA",Wide VGA,848,480
"WVGA, WGA",Wide VGA,852,480
"WVGA, WGA",Wide VGA,864,480
"WVGA, WGA",Wide VGA,858,484
SVGA,Super VGA,800,600
Half Megapixel,Apple,832,624
QHD,Quarter HD,960,540
,,964,544
DVGA,Double VGA,960,640
,Unbenannt,960,720
WXGA,Wide XGA,1024,576
WSVGA,Wide SVGA,1024,600
WSVGA,Wide SVGA,1072,600
,Apple,1152,768
EVGA,Extended VGA,1024,768
XGA,Extended Graphics Array,1024,768
XGA,XGA+,1152,864
XGA,Apple Macintosh-XGA,1152,870
XGA,"SGI-XGA, Sun-XGA",1152,900
DSVGA,Double SVGA,1200,800
OLPC,,1200,900
720p,High Definition,1280,720
WXGA,Wide XGA,1280,768
WXGA,Wide XGA,1280,800
WXGA,Wide XGA,1280,854
WXGA,Wide XGA,1360,768
WXGA,Wide XGA,1366,768
WXGA,Wide XGA,1376,768
WXGA+,WXGA Plus,1400,900
WXGA+,WXGA Plus,1440,900
,Apple,1440,960
SXVGA,Quad VGA,1280,960
SXGA,Super XGA,1280,1024
XGA-2,XGA 2,1360,1024
XGA-2,XGA 2,1366,1024
UWXGA,Ultra Wide XGA,1600,768
WSXGA,Wide SXGA,1600,900
WSXGA,Wide SXGA,1600,1024
SXGA+,SXGA Plus,1400,1050
WSXGA+,Wide SXGA+,1680,1050
UXGA,Ultra XGA,1600,1200
1080p,Full High Definition,1920,1080
WUXGA,Wide UXGA,1920,1200
TXGA,Tesselar XGA,1920,1400
,Unbenannt,1920,1440
QWXGA,Quad WXGA,2048,1152
SUXGA,Super UXGA,2048,1536
QXGA,Quad XGA,2048,1536
WQHD,Wide QHD,2560,1440
WQXGA,Wide QXGA,2560,1600
QSXGA,Quad SXGA,2560,2048
QSXGA+,Quad SXGA+,2800,2100
WQSXGA,Wide QSXGA,3200,2048
QUXGA,Quad UXGA,3200,2400
HSVGA,Hex SVGA,3200,2400
2160p,Quad High Definition,3840,2160
QWUXGA,Quad WUXGA,3840,2400
WQUXGA,Wide QUXGA,3840,2400
HXGA,Hex XGA,4096,3072
WHXGA,Wide HXGA,5120,3200
HSXGA,Hex SXGA,5120,4096
WHSXGA,Wide HSXGA,6400,4096
HUXGA,Hex UXGA,6400,4800
WHUXGA,Wide HUXGA,7680,4800
